"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"1.0k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ102V","Digikey","P1.0KECT-ND","R2","1"
"1x6 Header","DIL","","","","","","J4","1"
"1x10 Header","DIL","","","","","","J3 J6","2"
"2x5 Header","SM","","Molex Inc","0015912100","Digikey","WM17451-ND","J1 J2","2"
"3.0k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ302V","Digikey","P3.0KECT-ND","R5","1"
"8Mhz Crystal","SM","","ECS Inc","ECS-80-20-5PXDU-TR","Digikey","XC1526CT-ND","XTAL1","1"
"10 ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ100V","Digikey","P10ECT-ND","R4 R3 R22 R23","4"
"10k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ103V","Digikey","P10KECT-ND","R1 R9 R8","3"
"10uF 25V X7R","SM1206","","Taiyo Yuden","TMK316B7106KL-TD","Digikey","587-2399-1-ND","C5 C9 C2 C8 C6 C13 C11 C1 C10 C16 C15","11"
"20pF 50V NPO","SM1206","","Yayeo","CC1206JRNPO9BN200","Digikey","311-1153-1-ND","C3 C4","2"
"25AA1024","SM","","Microchip","25AA1024-I/SM","Digikey","25AA1024-I/SM-ND","U4","1"
"56 ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ560V","Digikey","P56ECT-ND","R6 R7","2"
"100nF 50V X7R","SM1206","","TDK","C3216X7R1H104K","Digikey","445-4007-1-ND","C7 C12 C14","3"
"B550C","SM","","Diodes Inc","B550C-13-F","Digikey","B550C-FDICT-ND","D1","1"
"C&K SPST Single Stroke Switch","SM","","C&K","CKN10223CT-ND","Digikey","CKN10223CT-ND","SW1","1"
"dsPIC33EP64GP502","SM","","Microchip","DSPIC33EP64GP502-I/SO","Digikey","DSPIC33EP64GP502-I/SO-ND","U1","1"
"ISO1050","SM","","Texas Instruments","296-24818-1-ND","Digikey","296-24818-1-ND","U5","1"
"PESD1CAN","SM","","NXP Semiconductor","PESD1CAN,215","Digikey","568-4032-1-ND","U3","1"
"Power Jack 2.1mm x 5.5mm","SM","","CUI Inc","PJ-002A-SMT","Digikey","CP-002APJCT-ND","J7","1"
"PTC 1000mA Trip-500mA Hold","SM1206","","Littelfuse Inc","1206L050/15YR","Digikey","F3733CT-ND","R10","1"
"RJ45 Amphinol Dual SMT OpenLCB","SM","","Amphenol","RJSSE-5080-02","Digikey","RJSSE-5080-02-ND","J5","1"
"TL317","SM","","Texas Instruments","TL317CD","Digikey","296-11823-5-ND","U2","1"
"","","","","","","","","43"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
