"Component","Package","Value","Manuf","Manuf Part No","Distrib","Distrib Part No","Ref Name","Qty"
"1.0k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ102V","Digikey","P1.0KECT-ND","R3 R5 R7","3"
"1x10 Header Socket","DIL","","Harwin","75915-310LF","Digikey","75915-310LF","J2 J1","2"
"3.0k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ302V","Digikey","P3.0KECT-ND","R4","1"
"3.3V D2-Pak [LD1086]","SMS4","","ST Microelectroincs","LD1086D2T33TR","Digikey","497-1224-1-ND","U4","1"
"10 ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ100V","Digikey","P10ECT-ND","R1 R2","2"
"10k ohm 5%","SM1206","","Panasonic","ERJ-8GEYJ103V","Digikey","P10KECT-ND","R6","1"
"10uF 25V X7R","SM1206","","Taiyo Yuden","TMK316B7106KL-TD","Digikey","587-2399-1-ND","C14 C15 C1 C16 C17 C3 C18 C19 C20","9"
"100nF 50V X7R","SM1206","","TDK","C3216X7R1H104K","Digikey","445-4007-1-ND","C2","1"
"ADM2483","SM","","","","","","U1","1"
"B550C","SM","","Diodes Inc","B550C-13-F","Digikey","B550C-FDICT-ND","D5","1"
"DIN5 Female Socket - Xpressnet","DIL","","Tyco","5750477-1","Digikey","A99366-ND","J9","1"
"Power Jack 2.1mm x 5.5mm","SM","","CUI Inc","PJ-002A-SMT","Digikey","CP-002APJCT-ND","J10 J3","2"
"PTC 1000mA Trip-500mA Hold","SM1206","","Littelfuse Inc","1206L050/15YR","Digikey","F3733CT-ND","R8","1"
"RJ12 Molex Plastic Xpressnet","SM","","Molex","95501-6669","Digikey","WM5575-ND","J7","1"
"SM712_RS485","SM","","Bourns","CDSOT23-SM712CT-ND","Digikey","CDSOT23-SM712CT-ND","U2","1"
"Terminal Block 2 Wire - 100mil","DIL","","TE Connectivity","282834-2","Digikey","A98333-ND","J6","1"
"","DIL","","","","Digikey","","J4","1"
"","DIL","","TE Connectivity","282834-2","Digikey","A98333-ND","J5","1"
"TL317","SM","","Texas Instruments","TL317CD","Digikey","296-11823-5-ND","U3","1"
"","","","","","","","","32"
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.
